time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.528,-0.0007950674,-0.0001179907,0.009262252,0.03929957,-0.1534447,-0.07245926,0.1107302,0.09581187,-0.208569,355.8455,356.831,354.0876,1.103133,-2.108842,-0.278688,3.0771,0.8358151,-1.330083,-0.528728,-0.5495225,-0.1470147,15.01435,280.229,342.0092,-1.196432,-2.301681,-0.3271375,3.252012,-2.006796,0.8381124,0.7408835,-0.5569906,-0.1504479,21.44124,92.54047,27.36351,
12.969,-0.002379092,-0.002315228,0.008087575,0.03342195,-0.1401014,-0.1021709,0.1107192,0.09573532,-0.2084718,355.8356,356.9023,354.2007,1.190707,-2.069619,-0.311415,3.055839,0.9494084,-1.341271,-0.5114372,-0.5746493,-0.1525292,17.78935,280.5564,341.9887,-1.32487,-2.262742,-0.2862691,3.402695,-1.740218,1.410218,0.7206842,-0.5841112,-0.1536173,24.56794,91.59084,28.95046,
26.32,-0.003972209,-0.005194219,0.006665991,0.0168533,-0.1134873,-0.1025953,0.1106455,0.09560047,-0.2084098,355.854,356.939,354.2657,1.260134,-2.017847,-0.3663027,2.960556,1.287301,-1.177035,-0.4934812,-0.5987308,-0.1587529,20.50211,280.3087,342.0484,-1.439167,-2.176133,-0.2565826,3.006884,-1.300866,2.277965,0.699117,-0.6101684,-0.157568,26.37188,90.24116,31.31533,
40.304,-0.005181312,-0.008556606,0.005449886,-0.004190954,-0.0821704,-0.08903296,0.1105449,0.09540254,-0.208364,355.8931,356.9558,354.3073,1.320965,-1.959147,-0.4332274,2.910717,1.845915,-0.8115047,-0.4749959,-0.6217763,-0.1653941,23.41792,279.4278,342.4143,-1.546222,-2.083002,-0.2784915,2.474145,-1.275718,2.874301,0.6764432,-0.6357018,-0.1626307,27.8714,89.65617,34.17529,
54.201,-0.005510885,-0.01022096,0.004560423,-0.01360972,-0.04088735,-0.08085339,0.1104703,0.09521365,-0.2083297,355.9154,356.921,354.3597,1.388831,-1.901034,-0.4902493,2.990735,2.462181,-0.4314149,-0.4551567,-0.6437677,-0.1727114,26.85118,278.4352,343.1463,-1.631609,-2.019194,-0.34214,2.202929,-1.770747,2.869615,0.653281,-0.6603364,-0.1684887,30.02671,90.2029,36.90633,
68.05,-0.005682176,-0.008728319,0.004087113,0.005687432,-0.004419308,-0.08049598,0.1104124,0.09510554,-0.2083125,355.877,356.8624,354.4305,1.463476,-1.834748,-0.5323074,2.991261,3.076665,-0.2662651,-0.4355301,-0.6645845,-0.1795137,30.6601,277.3036,343.5931,-1.72012,-1.957963,-0.4133104,2.109055,-2.392137,2.559942,0.6288601,-0.683726,-0.1746984,32.68389,91.42161,39.48433,
81.793,-0.005329144,-0.004648009,0.003011772,0.04222427,0.03145377,-0.06396831,0.1103711,0.09511994,-0.2083244,355.7907,356.7762,354.4509,1.534625,-1.733149,-0.5535195,2.713897,3.326275,-0.3198797,-0.4136584,-0.6829588,-0.1865152,33.99559,276.1641,343.3977,-1.81081,-1.885667,-0.4490941,2.261637,-2.848096,2.48824,0.6046627,-0.7056599,-0.180525,35.95557,92.22968,42.16273,
95.938,-0.004618966,-0.001246624,0.001293502,0.06456163,0.05772918,-0.0239227,0.1103253,0.09518468,-0.2083483,355.723,356.699,354.3996,1.584241,-1.600569,-0.53768,2.392811,3.04917,-0.5799111,-0.392967,-0.7000504,-0.1920156,36.5915,275.5616,342.7001,-1.881747,-1.771759,-0.4633541,2.221788,-3.10151,2.751193,0.5791107,-0.724158,-0.186299,38.95705,92.77557,45.45391,
110.102,-0.003454742,-0.00041574,-0.0006461038,0.05830315,0.06246116,0.02443532,0.110302,0.0952033,-0.2084002,355.6985,356.6703,354.3059,1.606534,-1.475009,-0.5105638,2.121773,2.740172,-0.8671177,-0.3722553,-0.7152864,-0.1975821,38.90243,275.0617,341.6297,-1.907841,-1.609793,-0.4797383,1.999577,-2.976344,2.60159,0.5555044,-0.7408372,-0.1929262,41.24936,93.16161,47.86486,
123.623,-0.001126118,-0.001115525,-0.003356164,0.03687736,0.0510431,0.05704539,0.1103463,0.09519513,-0.2084947,355.699,356.6714,354.2241,1.596642,-1.321278,-0.4806121,1.832153,2.491478,-0.9644738,-0.3516661,-0.7276356,-0.2029571,40.8633,274.4393,340.5986,-1.891744,-1.439723,-0.5075257,1.701708,-3.117011,2.008356,0.5324829,-0.7549189,-0.1992797,43.57343,94.60639,50.05195,
