time,headset_vel.x,headset_vel.y,headset_vel.z,headset_angularVel.x,headset_angularVel.y,headset_angularVel.z,headset_pos.x,headset_pos.y,headset_pos.z,headset_rot.x,headset_rot.y,headset_rot.z,controller_left_vel.x,controller_left_vel.y,controller_left_vel.z,controller_left_angularVel.x,controller_left_angularVel.y,controller_left_angularVel.z,controller_left_pos.x,controller_left_pos.y,controller_left_pos.z,controller_left_rot.x,controller_left_rot.y,controller_left_rot.z,controller_right_vel.x,controller_right_vel.y,controller_right_vel.z,controller_right_angularVel.x,controller_right_angularVel.y,controller_right_angularVel.z,controller_right_pos.x,controller_right_pos.y,controller_right_pos.z,controller_right_rot.x,controller_right_rot.y,controller_right_rot.z
0.525,-0.1539028,0.02435562,-0.0251189,0.02786803,-0.2004926,0.1859694,0.1078157,0.07490212,-0.2491803,5.494535,358.8904,353.8844,-1.258736,-0.8414373,0.2084723,-2.412343,-3.332733,-3.281964,-0.1063448,0.0748432,0.1472246,321.6819,13.29686,342.5546,0.8701383,1.53895,0.02751173,-0.1642103,-2.380425,-5.777421,0.3647259,-0.2947466,0.2047241,354.4206,11.01889,345.5767,
13.165,-0.1621471,0.02439352,-0.02161737,0.03902648,-0.2026971,0.1601731,0.1053605,0.07523083,-0.2494102,5.450399,359.0208,353.7855,-1.231258,-0.9516762,0.221578,-2.036194,-3.048265,-3.286989,-0.1206078,0.05942332,0.1497294,321.8981,10.5733,346.8852,0.7812123,1.595504,0.01053477,-0.2381146,-2.640023,-6.156483,0.3729987,-0.2731729,0.2048758,352.3697,11.88246,351.1244,
26.616,-0.1691012,0.02343077,-0.01847724,0.04540415,-0.1952218,0.1404333,0.1028304,0.07551247,-0.249589,5.388702,359.1388,353.6881,-1.201067,-1.054761,0.2357258,-1.913807,-2.988743,-3.303184,-0.1347011,0.04303266,0.1527097,322.5241,7.969452,351.5387,0.695756,1.660977,-0.01029284,-0.02305033,-2.937702,-6.213428,0.3803054,-0.2507405,0.2047792,349.8591,12.61889,356.1564,
40.283,-0.1757967,0.02166648,-0.01541191,0.05720866,-0.1818086,0.1287495,0.1002431,0.07572814,-0.2497716,5.309557,359.2318,353.5885,-1.16863,-1.153083,0.2520504,-1.917494,-3.107471,-3.353315,-0.1485211,0.02545344,0.1557304,323.5579,5.525966,356.4966,0.6022658,1.716332,-0.02475866,0.2402918,-2.97202,-5.914868,0.3862171,-0.2279928,0.2049782,347.4713,13.01552,0.3791358,
54.428,-0.1809281,0.01939259,-0.01216601,0.065055,-0.1667496,0.1181369,0.09759879,0.07585958,-0.2499285,5.233719,359.3184,353.5004,-1.132646,-1.243801,0.2630386,-1.804382,-3.1838,-3.433422,-0.1614594,0.007239543,0.1591214,324.671,3.143884,1.340626,0.499594,1.741834,-0.02626222,0.2697579,-2.68549,-5.456409,0.3908335,-0.2050525,0.2048253,345.7863,12.9069,4.083941,
68.194,-0.1845954,0.01675668,-0.009001185,0.06583601,-0.1536471,0.1131666,0.09493566,0.07595626,-0.2500567,5.172145,359.4005,353.4064,-1.095203,-1.325833,0.2696162,-1.628814,-3.060724,-3.58594,-0.1737744,-0.01218799,0.1617989,325.9041,0.5742291,5.906626,0.3907453,1.753619,-0.02705656,0.2432043,-2.448878,-5.156606,0.3939751,-0.1823292,0.2049675,344.2905,12.54281,7.845511,
81.893,-0.186564,0.01415526,-0.006100777,0.05989237,-0.1358767,0.1195633,0.092345,0.07609145,-0.2500739,5.128121,359.4548,353.2863,-1.054396,-1.398822,0.2631412,-1.356163,-2.913995,-3.755902,-0.1851692,-0.0318872,0.1645753,327.075,357.9378,10.35694,0.2747378,1.756978,-0.02163309,0.1540783,-2.408635,-5.129651,0.395396,-0.1592171,0.2057381,342.8835,12.02203,12.18092,
96.062,-0.1869388,0.01123487,-0.003009839,0.05274838,-0.1190099,0.1268014,0.08978581,0.07616646,-0.2500482,5.08712,359.4969,353.1701,-1.001945,-1.465718,0.2508041,-1.143684,-2.869197,-3.867715,-0.1958733,-0.0526271,0.1668045,328.463,355.5616,14.73834,0.1547321,1.751139,-0.0178647,0.1078732,-2.656263,-5.40293,0.3950748,-0.1370417,0.2050268,341.3418,11.45877,17.44394,
110.38,-0.1855949,0.009016777,-0.0002042037,0.03907131,-0.09308743,0.1299668,0.08719707,0.07629781,-0.2499528,5.076691,359.5077,353.0613,-0.9376012,-1.522345,0.2292669,-0.7317709,-2.984467,-3.931206,-0.2056441,-0.07392256,0.1692112,329.5839,353.541,19.28043,0.04339951,1.72954,-0.007571387,-0.002003342,-3.243223,-5.795354,0.3932391,-0.1138379,0.2061854,340.1396,11.14056,23.74601,
123.885,-0.1838219,0.007284291,0.003113501,0.04081574,-0.07192208,0.1394859,0.08453703,0.07639799,-0.2497454,5.023279,359.5113,352.9314,-0.8768062,-1.572063,0.2163157,-0.4128133,-3.005937,-4.013,-0.2145005,-0.09545619,0.1719005,330.8887,351.5996,23.72894,-0.06823542,1.724373,-0.02033724,0.2337748,-3.448415,-6.014524,0.3904958,-0.0918486,0.2049928,338.4893,10.44049,29.7503,
137.51,-0.1813333,0.005101191,0.005925952,0.04847438,-0.0539211,0.1518825,0.08197284,0.07640786,-0.2495646,4.968524,359.4981,352.7883,-0.7954216,-1.629487,0.2074304,-0.261136,-2.802829,-4.032588,-0.2215439,-0.1184965,0.1738233,332.3921,349.6563,27.66049,-0.2016163,1.717497,-0.0474803,0.5655259,-3.348163,-6.085017,0.3857525,-0.06942724,0.2046051,336.5596,9.270181,35.40835,
151.736,-0.1778923,0.002409827,0.008720113,0.04198363,-0.03573138,0.1636186,0.07959509,0.07638495,-0.2493792,4.954249,359.473,352.644,-0.7162982,-1.673993,0.1947076,-0.2480488,-2.391859,-3.961674,-0.2273357,-0.1410975,0.1756868,333.9586,347.6457,30.85666,-0.3149672,1.699827,-0.0689176,0.742318,-3.114131,-5.870301,0.3798239,-0.04768453,0.2025693,335.0208,7.997517,40.48143,
