controller_right_pos.x,controller_right_pos.y,controller_right_pos.z
0.06597373,1.464539,0.2436017,
0.06472515,1.462614,0.242098,
0.06436917,1.461551,0.2406785,
0.06469969,1.460708,0.240746,
0.0649528,1.460318,0.2405356,
0.06487051,1.460727,0.2403893,
0.06462727,1.461722,0.2404246,
0.06437172,1.462635,0.2403238,
0.06432279,1.463563,0.2396984,
0.06453757,1.464902,0.2388262,
0.06502167,1.466634,0.2384093,
0.06565274,1.468684,0.2379368,
0.06622127,1.471226,0.2371904,
0.06699978,1.474068,0.2365887,
0.06797189,1.477542,0.2361086,
0.06932317,1.48159,0.2358697,
0.07103867,1.485699,0.2355751,
0.0731383,1.489958,0.2353094,
0.07559645,1.494315,0.2350103,
0.07845379,1.498673,0.2347539,
0.08163595,1.503333,0.2346301,
0.08498082,1.508013,0.2347496,
0.08844388,1.51249,0.2348779,
0.09209402,1.516918,0.2349274,
0.09604476,1.521009,0.2350956,
0.1002216,1.524722,0.2352385,
0.1045157,1.52802,0.235187,
0.1090079,1.530901,0.2351065,
0.113819,1.533233,0.2349695,
0.1187828,1.535546,0.2350018,
0.1239256,1.537442,0.2352022,
0.1291989,1.538991,0.2353595,
0.1346088,1.540139,0.2354477,
0.1401929,1.541142,0.2355782,
0.1459816,1.541992,0.2357646,
0.1516206,1.542658,0.2360821,
0.157052,1.543288,0.2362884,
0.1625524,1.543591,0.2366218,
0.1679982,1.543768,0.2368353,
0.1735259,1.543804,0.2371761,
0.1789961,1.543618,0.2375489,
0.1843787,1.543225,0.2378389,
0.1897314,1.542694,0.2382816,
0.1951833,1.541916,0.2389088,
0.2008038,1.540774,0.2396015,
0.2064236,1.53937,0.2403006,
0.212108,1.537609,0.241168,
0.2177395,1.535663,0.2420609,
0.2233116,1.533387,0.2429173,
0.228852,1.530791,0.2437879,
0.2343816,1.527933,0.2446747,
0.2397526,1.524992,0.2455459,
0.2450672,1.521738,0.2464798,
0.2503617,1.518261,0.2474774,
0.2555614,1.514497,0.2485661,
0.260599,1.510583,0.2495842,
0.2656221,1.506318,0.2506387,
0.2706398,1.50191,0.2516861,
0.2754365,1.497457,0.2527222,
0.2801197,1.492929,0.2538413,
0.2845984,1.488308,0.2550906,
0.288929,1.48346,0.2563784,
0.2931477,1.478538,0.257637,
0.2972802,1.473492,0.2588915,
0.3013462,1.468053,0.2603488,
0.3053809,1.462589,0.2618175,
0.3091249,1.456964,0.2633536,
0.3126217,1.451261,0.2649944,
0.3158228,1.445439,0.2666717,
0.318889,1.439274,0.2683361,
0.3218545,1.432908,0.2700228,
0.3246342,1.426365,0.2717947,
0.3271231,1.41952,0.2736908,
0.3293563,1.412451,0.2755862,
0.331348,1.404963,0.2773837,
0.3331519,1.397174,0.2788998,
0.3348554,1.389293,0.2807472,
0.3363141,1.38118,0.282905,
0.3374463,1.37291,0.285189,
0.338257,1.364436,0.287693,
0.3387987,1.355759,0.2902859,
0.3391527,1.347123,0.2927295,
0.3393328,1.338296,0.2951103,
0.3392967,1.329397,0.2974472,
0.3390671,1.320503,0.3000268,
0.3385449,1.311412,0.3027945,
0.3378535,1.302451,0.3053671,
0.3368767,1.293576,0.3078149,
0.3356601,1.284901,0.3104104,
0.3341779,1.276425,0.3130411,
0.3325406,1.268048,0.3156126,
0.3305713,1.259812,0.3179147,
0.3284103,1.251837,0.3200286,
0.3259528,1.244052,0.3220467,
0.3235767,1.236417,0.3241714,
0.3210857,1.229284,0.3263126,
0.3182846,1.222377,0.3284473,
0.3153288,1.215747,0.3304774,
0.3121186,1.209419,0.332462,
0.3086629,1.203254,0.3342651,
0.305095,1.197331,0.336036,
0.3014751,1.191681,0.337826,
0.2977153,1.186145,0.3395865,
0.2938877,1.180782,0.3412914,
0.2898884,1.175704,0.3429666,
0.2858296,1.170912,0.3445161,
0.2817443,1.16628,0.3459899,
0.2775112,1.161569,0.3473816,
0.2732084,1.156757,0.3488093,
0.2688615,1.152092,0.3501375,
0.2642175,1.147755,0.3513252,
0.2593558,1.143711,0.3523831,
0.2543359,1.139917,0.3533474,
0.2492517,1.136274,0.3540545,
0.2438875,1.132831,0.3547157,
0.2385751,1.129309,0.3553099,
0.233283,1.1259,0.3557355,
0.2280565,1.12272,0.356247,
0.2227488,1.119825,0.3565362,
0.2175296,1.117138,0.3568722,
0.2123356,1.1146,0.3570475,
0.2070313,1.112303,0.3570867,
0.2018833,1.110185,0.3574137,
0.1968673,1.108056,0.3575923,
0.1919274,1.106194,0.3576127,
0.1869659,1.104763,0.3575766,
0.1819603,1.103522,0.3574361,
0.1769086,1.102713,0.3570399,
0.171841,1.102363,0.3564778,
0.166783,1.102539,0.3557126,
0.1617786,1.10307,0.3548599,
0.1567646,1.103921,0.3538058,
0.1519396,1.105139,0.3526717,
0.1472667,1.106888,0.3512226,
0.1425585,1.108873,0.3495382,
0.1379779,1.111172,0.3477074,
0.1335438,1.114031,0.3456696,
0.1292838,1.117378,0.3435715,
0.1250786,1.120848,0.3413154,
0.1209596,1.124718,0.3388733,
0.1169504,1.128976,0.3363567,
0.1130611,1.133595,0.3337811,
0.1091671,1.138378,0.3311386,
0.1054173,1.143568,0.3283406,
0.1017581,1.149057,0.3254624,
0.09821186,1.154795,0.3225596,
0.09480309,1.160744,0.3195213,
0.09158167,1.166809,0.3165371,
0.08856884,1.172965,0.3135944,
0.08562434,1.179236,0.3105171,
0.08297055,1.185727,0.3075928,
0.08049304,1.192292,0.3046581,
0.07819664,1.198905,0.3016829,
0.07610846,1.205711,0.2988935,
0.07417937,1.212572,0.296194,
0.07229875,1.219342,0.2933879,
0.07073633,1.226257,0.2905862,
0.06924309,1.233245,0.2878518,
0.06789073,1.240212,0.2851706,
0.06679035,1.247313,0.2825486,
0.06580075,1.254391,0.2800584,
0.06499477,1.261655,0.277599,
0.06433414,1.268994,0.2752533,
0.06367113,1.276387,0.2729012,
0.06307004,1.283778,0.2706369,
0.06241161,1.291156,0.2683505,
0.06183835,1.298509,0.2660755,
0.06147482,1.30579,0.2638926,
0.06134919,1.313077,0.2618429,
0.0612777,1.320413,0.2598068,
0.06148583,1.32761,0.2579793,
0.06187719,1.334741,0.2561494,
0.06224791,1.34197,0.2544145,
0.06243789,1.349267,0.2527191,
0.06270093,1.356466,0.2510979,
0.06313203,1.363445,0.2495702,
0.06366785,1.370224,0.2480593,
0.06438147,1.376923,0.2466908,
0.06526984,1.383416,0.2454268,
0.06626815,1.389795,0.2442665,
0.0672779,1.396067,0.2431825,
0.0682509,1.402402,0.2422852,
0.06920008,1.408443,0.2414524,
0.07020859,1.414244,0.2406476,
0.07122576,1.419713,0.2398032,
0.0721259,1.424896,0.2389122,
0.07310103,1.42981,0.2381414,
0.07411099,1.434489,0.2374254,
0.07503356,1.438757,0.2367693,
0.07594202,1.443002,0.2362943,
0.07660685,1.446971,0.2358111,
0.07717249,1.450581,0.2352605,
0.07771094,1.453957,0.2347336,
0.07814834,1.456771,0.234136,
0.07848737,1.459352,0.2336169,
0.07878079,1.461736,0.233096,
0.07910958,1.464061,0.2327059,
0.07933978,1.46603,0.2325441,
0.07916359,1.467623,0.2320978,
0.07910703,1.468805,0.2318256,
0.07872067,1.470019,0.2313058,
0.07844917,1.470806,0.230974,
0.07851978,1.471696,0.2307619,
