controller_right_pos.x,controller_right_pos.y,controller_right_pos.z
-0.5868539,1.662325,0.2042757,
-0.5877646,1.662616,0.2051816,
-0.5885962,1.662909,0.205024,
-0.5894078,1.662355,0.2052794,
-0.5904282,1.661645,0.2052542,
-0.5914298,1.660669,0.2049874,
-0.5925711,1.659671,0.2046512,
-0.593694,1.658209,0.2042901,
-0.5951779,1.65704,0.2038276,
-0.5968403,1.655657,0.2034734,
-0.5986652,1.654194,0.2030222,
-0.6006598,1.652692,0.2025579,
-0.6027952,1.651032,0.202134,
-0.6051438,1.649393,0.2016536,
-0.6076192,1.647577,0.2011836,
-0.6100798,1.645677,0.2007338,
-0.6127288,1.643662,0.2002942,
-0.6154288,1.641635,0.1998745,
-0.6182905,1.639602,0.1994344,
-0.6212896,1.637547,0.1991031,
-0.6243531,1.635442,0.1987552,
-0.6275046,1.633304,0.1983882,
-0.6307335,1.631119,0.1980141,
-0.63409,1.628945,0.1976806,
-0.6374653,1.626657,0.1975472,
-0.6409352,1.624269,0.1973881,
-0.6444604,1.621852,0.197242,
-0.6480562,1.619319,0.1971149,
-0.6518288,1.616777,0.1969675,
-0.6557745,1.614153,0.1968936,
-0.6598093,1.611438,0.1967787,
-0.6638907,1.608684,0.1965918,
-0.6681224,1.605812,0.1963734,
-0.6724598,1.602861,0.1961663,
-0.6767961,1.599813,0.1959922,
-0.6811777,1.596672,0.1958272,
-0.6856876,1.59349,0.1956816,
-0.6902819,1.590255,0.1954981,
-0.6949267,1.586966,0.1953402,
-0.6996115,1.583614,0.1952005,
-0.7043198,1.580257,0.1950288,
-0.7090182,1.576829,0.1949679,
-0.7138356,1.573325,0.1948514,
-0.7186144,1.56984,0.194778,
-0.723408,1.566398,0.1947614,
-0.7282696,1.562991,0.194772,
-0.7331942,1.559582,0.1948162,
-0.7381364,1.556201,0.1949304,
-0.7431223,1.55278,0.1950239,
-0.7481073,1.549349,0.1951426,
-0.7530251,1.545885,0.1952946,
-0.7580668,1.542369,0.1954766,
-0.7631449,1.538783,0.1956797,
-0.7682868,1.535178,0.1959188,
-0.7734187,1.531546,0.1962826,
-0.7785146,1.527807,0.1966465,
-0.7835549,1.523866,0.1970527,
-0.7885396,1.519783,0.1973916,
-0.7934887,1.515549,0.1977517,
-0.7984943,1.51124,0.1981068,
-0.8035414,1.506971,0.1984688,
-0.8086686,1.502683,0.1989049,
-0.8139059,1.498347,0.1993214,
-0.8191164,1.493958,0.1997761,
-0.8243752,1.489429,0.200244,
-0.829616,1.484846,0.200699,
-0.8348714,1.480227,0.2012252,
-0.8401499,1.475617,0.2017259,
-0.8455288,1.470977,0.2022793,
-0.8510174,1.466212,0.2028349,
-0.8564757,1.461412,0.2034263,
-0.8619516,1.456618,0.2040651,
-0.8674579,1.451682,0.20473,
-0.8729518,1.446657,0.2053072,
